Year,Annual Rainfall,Crop,Area,crop_Production,Arrival,Quantities,MIN(Rs),MAX(Rs)
2004,420.5,Coconut ,111248,549026,3462600,Nubers(per 1000),2000,5900
2005,416.8,Coconut ,109443,540118,3015440,Nubers(per 1000),250,8500
2006,626,Coconut ,110937,5530209.45,,Nubers(per 1000),,
2007,836,Coconut ,122690,605494,698000,Nubers(per 1000),2500,6900
2008,471,Coconut ,125511,619416,2546210,Nubers(per 1000),3000,70000
2009,681,Coconut ,124110,683765,2888750,Nubers(per 1000),2000,6500
2010,779,Coconut ,132587,994566,3355000,Nubers(per 1000),1200,8000
2011,673,Coconut ,138660,985898,2993500,Nubers(per 1000),1500,8000
2012,841,Coconut ,142248,1347700,6537750,Nubers(per 1000),300,8500
2013,549,Coconut ,143110,1351758,8770234,Nubers(per 1000),2800,10000
2014,473,Coconut ,147539,1393593,10682512,Nubers(per 1000),1280,9600
2015,584,Coconut ,145910,1139718,11618993,Nubers(per 1000),500,12000
2016,690,Coconut ,149419,1283692,8998979,Nubers(per 1000),4800,19400
2017,650,Coconut ,148212,1279465,13044672,Nubers(per 1000),800,45500
2018,580,Coconut ,142045,1250894,10289226,Nubers(per 1000),750,14050
